File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Dynamic DPI sample\C++\Application.cpp,"CalcInitialWindowBounds( _In_ float logicalDefaultWidth, _In_ float logicalDefaultHeight, _Out_ RECT *bounds )",22,16,12,5,4,0,2,17,
F:\papter datasets\Dynamic DPI sample\C++\Application.cpp,"WinMain( _In_ HINSTANCE hInstance, _In_opt_ HINSTANCE hPrevInstance, _In_ LPSTR lpCmdLine, _In_ int nShowCmd)",26,19,15,3,4,0,3,15,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::DeviceResources(),3,3,3,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::CreateDeviceIndependentResources(),38,29,7,0,4,0,5,32,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::CreateDeviceResources(),91,68,17,2,10,11,13,206,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::CreateWindowSizeDependentResources(),177,136,61,2,24,8,17,242,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,"DeviceResources::SetWindow(HWND window, float dpi)",17,13,11,1,3,0,1,14,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::SetLogicalSize(Size& logicalSize),6,6,4,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::SetDpi(float dpi),7,7,5,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::ValidateDevice(),48,27,23,1,13,0,8,86,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::HandleDeviceLost(),16,13,9,2,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::RegisterDeviceNotify(IDeviceNotify* deviceNotify),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::Trim(),5,4,4,0,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::Present(),29,17,11,3,3,0,9,94,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::GetDxgiFactory() const,17,14,8,1,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::LoadFonts(std::wstring path),13,9,5,0,2,0,2,19,
F:\papter datasets\Dynamic DPI sample\C++\DeviceResources.cpp,DeviceResources::GetFontCollection(),26,22,9,4,2,0,2,23,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::FontFileStream(_In_ std::vector<BYTE> *data),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,"FontFileStream::QueryInterface( REFIID uuid, _Outptr_ void** object )",14,14,8,4,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::AddRef(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::Release(),9,7,5,2,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,"FontFileStream::ReadFileFragment( _Outptr_result_bytebuffer_(fragmentSize) void const** fragmentStart, UINT64 fileOffset, UINT64 fragmentSize, _Out_ void** fragmentContext )",16,15,9,4,0,0,1,9,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::ReleaseFileFragment( _In_ void* ),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::GetFileSize( _Out_ UINT64* fileSize ),3,3,3,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontFileStream.cpp,FontFileStream::GetLastWriteTime( _Out_ UINT64* lastWriteTime ),4,3,3,1,0,0,1,12,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,"FontLoader::FontLoader( _In_ std::wstring location, _In_ IDWriteFactory* dwriteFactory )",1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,FontLoader::Load(),79,64,42,13,9,0,6,57,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,"FontLoader::QueryInterface( REFIID uuid, _Outptr_ void** object )",16,16,8,6,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,FontLoader::AddRef(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,FontLoader::Release(),7,5,4,2,2,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,"FontLoader::CreateEnumeratorFromKey( _In_ IDWriteFactory* factory, _In_reads_bytes_(fontCollectionKeySize) void const* fontCollectionKey, UINT32 fontCollectionKeySize, _Outptr_ IDWriteFontFileEnumerator** fontFileEnumerator )",6,6,6,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,FontLoader::MoveNext(OUT BOOL* hasCurrentFile),19,16,7,2,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,FontLoader::GetCurrentFontFile(OUT IDWriteFontFile** currentFontFile),3,3,3,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\FontLoader.cpp,"FontLoader::CreateStreamFromKey( _In_reads_bytes_(fontFileReferenceKeySize) void const* fontFileReferenceKey, UINT32 fontFileReferenceKeySize, _Outptr_ IDWriteFontFileStream** fontFileStream )",11,8,6,3,3,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,CLinearEaseInOutAnimation::CLinearEaseInOutAnimation(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,"CLinearEaseInOutAnimation::CLinearEaseInOutAnimation( _In_ float begin, _In_ float change, _In_ float duration, _In_ bool infinite )",9,9,9,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,CLinearEaseInOutAnimation::~CLinearEaseInOutAnimation(),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,"CLinearEaseInOutAnimation::LinearEaseInOut( _In_ float time, _In_ float begin, _In_ float change, _In_ float duration )",2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,CLinearEaseInOutAnimation::GetCurrentValue(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,CLinearEaseInOutAnimation::Tick(),27,26,14,3,1,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\LinearEaseInOutAnimation.cpp,CLinearEaseInOutAnimation::IsComplete(),2,2,2,1,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,CSampleCustomColorFontButton::CSampleCustomColorFontButton(void),1,1,1,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,"CSampleCustomColorFontButton::CSampleCustomColorFontButton(float left, float top, float size, CustomGlyphId id)",11,7,7,0,1,0,3,54,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,CSampleCustomColorFontButton::~CSampleCustomColorFontButton(void),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,CSampleCustomColorFontButton::SetClickHandler(function<void ()> handler),2,2,2,0,0,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,CSampleCustomColorFontButton::CreateDeviceIndependentResources(const std::shared_ptr<DeviceResources>& deviceResources),23,19,8,0,4,0,0,0,
F:\papter datasets\Dynamic DPI sample\C++\SampleCustomColorFontButton.cpp,CSampleCustomColorFontButton::ReleaseDeviceIndependentResources(),4,4,4,0,0,0,0,0,
