File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Helper.cpp,GetProcessorCount(),9,6,6,1,3,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Helper.cpp,GetProcessNames(),76,66,43,11,10,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Helper.cpp,GetValidCounterNames(),34,29,24,3,5,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,KeepLogging( void* ),11,11,7,3,0,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,"PlotLine(Graphics& g, Pen& p, float x1, float y1, float x2, float y2, bool fDiff)",15,14,10,2,1,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,"PlotString(Graphics& g, float x1, float y1, PCWSTR text, int len)",17,13,8,0,3,0,1,1
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,OnPaint(HDC hdc),37,30,22,4,6,0,1,1
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,RefreshCounterList(),14,11,8,1,3,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,"WindowProc(HWND hwnd, UINT uMsg, WPARAM wParam, LPARAM lParam)",98,88,33,12,10,33,0,153
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Main.cpp,"wWinMain(HINSTANCE hInstance, HINSTANCE, PWSTR , int nCmdShow)",50,38,27,4,12,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Query.cpp,Query::Query(),1,1,1,0,0,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Query.cpp,Query::Init(),22,15,11,2,7,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Query.cpp,Query::AddCounterInfo(PCWSTR name),15,13,9,2,2,0,0,0
F:\papter datasets\Use  PerformanceCounter to get CPU Usage\C++\CppCpuUsage\Query.cpp,Query::Record(),41,32,22,5,9,0,0,0
