File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,safe_handle( HANDLE h ),1,1,1,0,0,0,0,0
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"SetDebugObjectName(_In_ ID3D11DeviceChild* resource, _In_ const char (&name)[TNameLength])",7,7,4,0,0,0,0,0
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"LoadTextureDataFromFile( _In_z_ const wchar_t* fileName, std::unique_ptr<uint8_t[]>& ddsData, DDS_HEADER** header, uint8_t** bitData, size_t* bitSize )",116,89,42,24,16,0,11,83
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,BitsPerPixel( _In_ DXGI_FORMAT fmt ),156,141,16,15,15,1,0,3
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"GetSurfaceInfo( _In_ size_t width, _In_ size_t height, _In_ DXGI_FORMAT fmt, _Out_opt_ size_t* outNumBytes, _Out_opt_ size_t* outRowBytes, _Out_opt_ size_t* outNumRows )",131,120,63,14,11,2,0,18
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,GetDXGIFormat( const DDS_PIXELFORMAT& ddpf ),207,156,75,71,32,12,19,220
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,MakeSRGB( _In_ DXGI_FORMAT format ),27,20,10,9,7,0,0,0
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"FillInitData( _In_ size_t width, _In_ size_t height, _In_ size_t depth, _In_ size_t mipCount, _In_ size_t arraySize, _In_ DXGI_FORMAT format, _In_ size_t maxsize, _In_ size_t bitSize, _In_reads_bytes_(bitSize) const uint8_t* bitData, _Out_ size_t& twidth, _Out_ size_t& theight, _Out_ size_t& tdepth, _Out_ size_t& skipMip, _Out_writes_(mipCount*arraySize) D3D11_SUBRESOURCE_DATA* initData )",80,70,44,12,9,0,1,8
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"CreateD3DResources( _In_ ID3D11Device* d3dDevice, _In_ uint32_t resDim, _In_ size_t width, _In_ size_t height, _In_ size_t depth, _In_ size_t mipCount, _In_ size_t arraySize, _In_ DXGI_FORMAT format, _In_ D3D11_USAGE usage, _In_ unsigned int bindFlags, _In_ unsigned int cpuAccessFlags, _In_ unsigned int miscFlags, _In_ bool forceSRGB, _In_ bool isCubeMap, _In_reads_opt_(mipCount*arraySize) D3D11_SUBRESOURCE_DATA* initData, _Outptr_opt_ ID3D11Resource** texture, _Outptr_opt_ ID3D11ShaderResourceView** textureView )",216,196,119,27,19,0,1,8
F:\papter datasets\Dynamic Shader Linkage Win32 Sample\C++\DXUT\Core\DDSTextureLoader.cpp,"CreateTextureFromDDS( _In_ ID3D11Device* d3dDevice, _In_opt_ ID3D11DeviceContext* d3dContext, _In_ const DDS_HEADER* header, _In_reads_bytes_(bitSize) const uint8_t* bitData, _In_ size_t bitSize, _In_ size_t maxsize, _In_ D3D11_USAGE usage, _In_ unsigned int bindFlags, _In_ unsigned int cpuAccessFlags, _In_ unsigned int miscFlags, _In_ bool forceSRGB, _Outptr_opt_ ID3D11Resource** texture, _Outptr_opt_ ID3D11ShaderResourceView** textureView )",330,279,147,69,41,9,10,121
