File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\re2c-0.14.3\actions.cc,Symbol::ClearTable(),7,6,4,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Symbol::find(const SubStr &str),10,8,6,3,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"showIns(std::ostream &o, const Ins &i, const Ins &base)",38,28,19,8,10,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,RegExp::fixedLength(),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"compile_goto(Ins *ins, Ins *i)",4,4,4,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,NullOp::calcSize(Char*),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,NullOp::fixedLength(),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"NullOp::compile(Char*, Ins*)",2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,NullOp::decompile(),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,NullOp::split(CharSet&),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"merge(MatchOp *m1, MatchOp *m2)",13,10,6,7,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,MatchOp::display(std::ostream &o) const,2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,MatchOp::calcSize(Char *rep),7,6,3,3,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,MatchOp::fixedLength(),2,2,2,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"MatchOp::compile(Char *rep, Ins *i)",30,26,16,7,4,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,MatchOp::decompile(),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,MatchOp::split(CharSet &s),38,29,17,8,9,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"mkDiff(RegExp *e1, RegExp *e2)",9,7,6,3,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"doAlt(RegExp *e1, RegExp *e2)",8,6,4,5,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"doCat(RegExp *e1, RegExp *e2)",8,6,4,5,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"mkAlt(RegExp *e1, RegExp *e2)",47,44,26,9,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,AltOp::calcSize(Char *rep),4,4,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,AltOp::fixedLength(),8,6,5,3,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"AltOp::compile(Char *rep, Ins *i)",20,17,13,4,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,AltOp::decompile(),7,7,5,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,AltOp::split(CharSet &s),3,3,3,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CatOp::calcSize(Char *rep),4,4,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CatOp::fixedLength(),8,6,4,4,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"CatOp::compile(Char *rep, Ins *i)",15,12,8,4,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CatOp::decompile(),7,7,5,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CatOp::split(CharSet &s),3,3,3,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseOp::calcSize(Char *rep),3,3,3,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"CloseOp::compile(Char *rep, Ins *i)",18,15,11,4,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseOp::decompile(),6,6,4,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseOp::split(CharSet &s),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseVOp::calcSize(Char *rep),11,10,6,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"CloseVOp::compile(Char *rep, Ins *i)",33,29,19,7,4,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseVOp::decompile(),6,6,4,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CloseVOp::split(CharSet &s),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::unescape(SubStr &s) const,190,163,90,32,26,0,1,2,
F:\benchmark\re2c-0.14.3\actions.cc,"Scanner::unescape(SubStr& str_in, std::string& str_out) const",16,12,8,3,4,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::getRange(SubStr &s) const,24,22,15,4,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::matchSymbol(uint c) const,10,9,5,5,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::strToRE(SubStr s) const,13,9,7,4,4,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::strToCaseInsensitiveRE(SubStr s) const,39,32,21,6,7,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::mkRange(SubStr &s) const,6,5,4,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::matchSymbolRange(Range * r) const,7,7,4,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::ranToRE(SubStr s) const,8,6,5,3,2,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::invToRE(SubStr s) const,11,8,6,2,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::mkDot() const,9,8,7,2,1,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,Scanner::mkDefault() const,3,3,3,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"RuleOp::RuleOp(RegExp *e, RegExp *c, Token *t, uint a, InsAccess access)",2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,RuleOp::copy(uint a) const,3,3,3,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,RuleOp::calcSize(Char *rep),4,4,4,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,"RuleOp::compile(Char *rep, Ins *i)",25,22,16,5,3,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,RuleOp::decompile(),7,7,5,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,RuleOp::split(CharSet &s),3,3,3,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,optimize(Ins *i),40,35,20,6,5,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,CharSet::CharSet(),12,11,9,1,1,1,0,11,
F:\benchmark\re2c-0.14.3\actions.cc,CharSet::~CharSet(),3,3,3,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\actions.cc,genCode(RegExp *re),53,31,22,5,10,0,12,51,
F:\benchmark\re2c-0.14.3\code.cc,"replaceParam(std::string str, const std::string& param, const _Ty& value)",13,9,7,2,4,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genYYFill(std::ostream &o, uint, uint need)",19,19,11,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,genGetState(),9,9,5,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,genGetCondition(),9,9,5,3,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genSetCondition(std::ostream& o, uint ind, const std::string& newcond)",9,9,5,1,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,space(uint this_label),5,4,4,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,Go::compact(),16,12,8,2,3,0,1,8,
F:\benchmark\re2c-0.14.3\code.cc,"Go::unmap(Go *base, const State *x)",18,18,10,4,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"doGen(const Go *g, const State *s, uint *bm, uint f, uint m)",16,14,8,3,2,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"prt(std::ostream& o, const Go *g, const State *s)",13,11,7,2,2,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"matches(const Go *g1, const State *s1, const Go *g2, const State *s2)",36,30,18,9,6,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"BitMap::BitMap(const Go *g, const State *x)",2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,BitMap::~BitMap(),2,2,2,0,0,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"BitMap::find(const Go *g, const State *x)",10,9,5,4,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,BitMap::find(const State *x),10,9,5,4,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"BitMap::gen(std::ostream &o, uint ind, uint lb, uint ub)",56,45,28,8,10,0,1,2,
F:\benchmark\re2c-0.14.3\code.cc,BitMap::stats(),12,10,8,1,2,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genGoTo(std::ostream &o, uint ind, const State *from, const State *to, bool & readCh)",15,13,9,2,2,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"genIf(std::ostream &o, uint ind, const char *cmp, uint v, bool &readCh)",15,14,10,1,1,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"need(std::ostream &o, uint ind, uint n, bool & readCh, bool bSetMarker)",59,54,28,10,5,0,0,0,
F:\benchmark\re2c-0.14.3\code.cc,"Match::emit(std::ostream &o, uint ind, bool &readCh, const std::string&) const",26,23,13,3,2,0,1,8,
F:\benchmark\re2c-0.14.3\code.cc,"Enter::emit(std::ostream &o, uint ind, bool &readCh, const std::string&) const",20,19,11,3,0,0,1,7,
F:\benchmark\re2c-0.14.3\code.cc,"Initial::emit(std::ostream &o, uint ind, bool &readCh, const std::string&) const",44,40,20,7,4,0,0,0,
