File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\smartmontools-6.4\atacmdnames.cpp,"look_up_ata_command(unsigned char c_code, unsigned char f_reg)",194,193,93,94,1,18,0,30,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"get_unc_attr_id(bool offline, const ata_vendor_attr_defs & defs, bool & increase)",10,10,7,2,0,3,0,12,
F:\benchmark\smartmontools-6.4\atacmds.cpp,SelfTestFailureCodeName(unsigned char which),18,17,9,8,1,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"parse_attribute_def(const char * opt, ata_vendor_attr_defs & defs, ata_vendor_def_prior priority)",87,70,45,30,7,1,10,37,
F:\benchmark\smartmontools-6.4\atacmds.cpp,create_vendor_attribute_arg_list(),9,9,6,3,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"parse_firmwarebug_def(const char * opt, firmwarebug_defs & firmwarebugs)",16,16,9,3,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,get_valid_firmwarebug_args(),2,2,2,1,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,swap2(char *location),5,5,5,0,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,swap4(char *location),6,6,6,0,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,swap8(char *location),9,9,9,0,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,invalidate_serno(ata_identify_device * id),22,21,12,5,1,1,0,2,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"preg(const ata_register & r, char (& buf)[8])",6,5,4,3,0,0,1,3,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"print_regs(const char * prefix, const ata_in_regs & r, const char * suffix = ""\n"")",6,6,3,0,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"print_regs(const char * prefix, const ata_out_regs & r, const char * suffix = ""\n"")",6,6,3,0,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"prettyprint(const unsigned char *p, const char *name)",17,16,4,1,0,0,1,13,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"smartcommandhandler(ata_device * device, smart_command_set command, int select, char *data)",225,188,116,44,19,9,18,163,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_get_size_info(const ata_identify_device * id, ata_size_info & sizes)",52,33,19,8,10,0,9,57,
F:\benchmark\smartmontools-6.4\atacmds.cpp,checksum(const void * data),5,5,4,2,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"swapbytes(char * out, const char * in, size_t n)",5,5,4,1,0,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"trim(char * out, const char * in)",23,17,13,5,3,0,3,17,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_format_id_string(char * out, const unsigned char * in, int n)",17,14,9,2,1,0,2,21,
F:\benchmark\smartmontools-6.4\atacmds.cpp,ataCheckPowerMode(ata_device * device),10,7,5,4,3,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_nodata_command(ata_device * device, unsigned char command, int sector_count )",7,6,5,2,1,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_set_features(ata_device * device, unsigned char features, int sector_count )",8,7,6,2,1,0,0,0,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_read_identity(ata_device * device, ata_identify_device * buf, bool fix_swapped_id, unsigned char * raw_buf )",81,38,22,18,13,0,30,196,
F:\benchmark\smartmontools-6.4\atacmds.cpp,"ata_get_wwn(const ata_identify_device * id, unsigned & oui, uint64_t & unique_id)",15,12,10,3,2,1,1,22,
F:\benchmark\smartmontools-6.4\atacmds.cpp,ata_get_rotation_rate(const ata_identify_device * id),12,10,6,5,0,0,2,20,
F:\benchmark\smartmontools-6.4\atacmds.cpp,ataSmartSupport(const ata_identify_device * drive),11,6,5,3,2,0,3,26,
F:\benchmark\smartmontools-6.4\atacmds.cpp,ataIsSmartEnabled(const ata_identify_device * drive),11,6,5,3,2,0,3,25,
