File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\CameraCaptureUI Sample\C++\App.xaml.cpp,App::App(),3,3,3,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\App.xaml.cpp,App::OnLaunched(LaunchActivatedEventArgs^ args),65,42,24,6,4,0,19,159,
F:\papter datasets\CameraCaptureUI Sample\C++\App.xaml.cpp,"App::OnSuspending(Object^ sender, SuspendingEventArgs^ e)",8,7,6,0,1,1,0,2,
F:\papter datasets\CameraCaptureUI Sample\C++\CapturePhoto.xaml.cpp,CapturePhoto::CapturePhoto(),4,4,4,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\CapturePhoto.xaml.cpp,CapturePhoto::OnNavigatedTo(NavigationEventArgs^ e),22,13,9,1,3,0,6,44,
F:\papter datasets\CameraCaptureUI Sample\C++\CapturePhoto.xaml.cpp,"CapturePhoto::CapturePhoto_Click(Platform::Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",34,29,19,1,4,0,1,6,
F:\papter datasets\CameraCaptureUI Sample\C++\CapturePhoto.xaml.cpp,"CapturePhoto::Reset_Click(Platform::Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",7,5,5,0,1,0,1,5,
F:\papter datasets\CameraCaptureUI Sample\C++\CapturePhoto.xaml.cpp,CapturePhoto::LoadPhoto(Platform::String^ filePath),24,24,17,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\CaptureVideo.xaml.cpp,CaptureVideo::CaptureVideo(),4,4,4,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\CaptureVideo.xaml.cpp,CaptureVideo::OnNavigatedTo(NavigationEventArgs^ e),22,12,8,1,4,0,6,44,
F:\papter datasets\CameraCaptureUI Sample\C++\CaptureVideo.xaml.cpp,"CaptureVideo::CaptureVideo_Click(Platform::Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",32,27,17,1,4,0,1,6,
F:\papter datasets\CameraCaptureUI Sample\C++\CaptureVideo.xaml.cpp,"CaptureVideo::Reset_Click(Platform::Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",7,5,5,0,1,0,1,5,
F:\papter datasets\CameraCaptureUI Sample\C++\CaptureVideo.xaml.cpp,CaptureVideo::LoadVideo(Platform::String^ filePath),22,22,15,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,MainPage::MainPage(),16,9,9,0,4,0,3,37,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::MainPage_SizeChanged(Object^ sender, SizeChangedEventArgs^ e)",6,5,5,0,1,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,MainPage::InvalidateSize(),35,21,14,2,5,0,9,88,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,MainPage::InvalidateLayout(),29,21,17,1,5,0,3,41,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,MainPage::PopulateScenarios(),16,12,10,1,2,0,2,19,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,MainPage::LoadScenario(String^ scenarioName),57,36,26,3,11,0,10,82,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::Scenarios_SelectionChanged(Object^ sender, SelectionChangedEventArgs^ e)",8,7,5,1,1,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::NotifyUser(String^ strMessage, NotifyType type)",25,21,12,5,1,0,3,22,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::Footer_Click(Object^ sender, RoutedEventArgs^ e)",3,3,3,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::LoadState(Object^ navigationParameter, IMap<String^, Object^>^ pageState)",17,11,9,1,5,1,1,13,
F:\papter datasets\CameraCaptureUI Sample\C++\MainPage.xaml.cpp,"MainPage::SaveState(IMap<String^, Object^>^ pageState)",3,3,3,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,LayoutAwarePage::LayoutAwarePage(),18,9,7,1,4,0,5,47,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,LayoutAwarePage::RegisterDependencyProperties(),5,5,3,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,LayoutAwarePage::DefaultViewModelProperty::get(),2,2,2,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,LayoutAwarePage::DefaultViewModel::get(),2,2,2,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,"LayoutAwarePage::DefaultViewModel::set(IObservableMap<String^, Object^>^ value)",2,2,2,0,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,"LayoutAwarePage::OnLoaded(Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",16,13,6,1,1,0,2,20,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,"LayoutAwarePage::OnUnloaded(Object^ sender, Windows::UI::Xaml::RoutedEventArgs^ e)",8,8,6,1,0,0,0,0,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,"LayoutAwarePage::GoHome(Object^ sender, RoutedEventArgs^ e)",12,10,6,2,1,2,1,14,
F:\papter datasets\CameraCaptureUI Sample\C++\common\LayoutAwarePage.cpp,"LayoutAwarePage::GoBack(Object^ sender, RoutedEventArgs^ e)",9,7,5,1,1,2,1,14,
